家居 	 8 款 家居 色彩 搭配   温暖 整个 冬季 ( 组图 ) 独特 的 色彩 、 舒适 的 效果 与 和谐 的 生活 并 不 冲突 ， 家居 色彩 配色 要 遵循 哪些 原则 、 怎样 的 色彩 搭配 能 取得 最好 的 效果 、 如何 运用 家居 色彩 让 生活 更 舒适 ， 快 来看 一 看吧 。 【 米 白色 + 红色 】 以 乳白色 和 米黄色 为 代表 ， 稍暗 的 红色 与 米 白色 搭配 ， 在 统一 的 鲜亮 色调 中 加入 素雅 的 色调 ， 显得 格调高雅 、 富有 现代感 ， 安宁 中 透露 华丽 。 
 家居 	 家居 混 搭 风格 家纺 混 搭 ( 图 ) 三 、 家纺 混 搭 在 欧洲 ， 家纺品 多 风格 交融 的 趋势 同样 存在 ， 比如 在 许多 当地 家庭装饰 中 ， 家具 和 织品 的 颜色 是 当代 的 ， 但是 装饰灯 、 窗帘 帷帐 等 又 是 传统 的 。 提供 的 发挥 线索 1 . 在 床品 图案 上 ， 可以 借鉴 的 有 古代 青花 与 西洋 玫瑰 、 现代 风格 的 纹理 与 古典 盘扣 ， 民间 剪纸 与 蕾丝 ， 流苏 ， 羽毛 与 牛仔 的 融合 等等 。 2 . 如果 偏爱 浓烈 的 色调 ， 深红 + 翠绿 ， 橙色 + 深蓝 ， 深黄 + 深红 + 纯黑 等 最 不 可能 搭配 在 一起 的 颜色 组合 ， 也 往往 能取 到 出奇制胜 的 效果 。 
 家居 	 家居 混 搭 风格 装饰 混 搭 ( 图 ) 四 、 装饰 混 搭 提供 的 发挥 线索 1 . 若要 让 家里 呈现 华丽 怀旧 风 ， 编织 的 灯饰 、 有 珠珠 的 抱 枕 、 珠帘 都 是 可以 利用 的 小 元素 。 2 . 几块 少数民族 图腾 、 东南亚 的 民俗 布 ， 即可 展现 异国 格调 。 在 一些 特色 家饰 店里 ， 有 不少 印度 、 尼泊尔 的 布料 、 抱 枕 、 地毯 可以 选择 ， 随意 铺 在 沙发 上 ， 或 当 窗帘 ， 做 地毯 ， 家里 气氛 立刻 大 变 。 3 . 选用 古旧 的 收藏品 作 装饰 ， 既 可以 体现 工艺 和 文化背景 ， 又 能 淡化 现代 居室 的 冰冷 ， 使 空间 更加 厚重 沉稳 。 但 一定 要 带 着 美学 修养 去 “ 集 ” ， 不然 家里 很 容易 变成 “ 杂货铺 ” 。 贴士 ： 想要 混 搭 个性化 的 家 ， 先要 把 整体 搭配 的 元素 想 好 ， 比如 东西 看腻 后 的 替换 运用 ， 或者 将 特殊 的 摆设 换个 地方 放 ， 都 有 不同 的 味道 。 
 家居 	 家居生活 里   花瓶 总是 能 点缀 其中 ( 图 ) 在 家居生活 里 ， 花瓶 总是 能 点缀 其中 ， 为 小家 平添 几分 雅致 情调 。   
 家居 	 家居 的 设计 要求 越来越 细节 化 ( 图 ) 阳台 是 室内空间 的 延伸 ， 也 是 室内 与 室外 的 过渡 ， 随着 生活品质 的 不断 提高 ， 人们 对 家居 的 设计 要求 越来越 细节 化 ， 传统意义 上 只 用来 晾晒 、 洗 浣 的 阳台 ， 也 逐渐 成为 室内装饰 不可 忽视 的 部分 。 漂亮 阳台 布置 展示 ， 为 你 的 阳台 增添 一分 逸趣 。 
 家居 	 家居 空间 起到 了 至关重要 的 作用 ( 图 ) 装修 时 , 户型 优化 ， 对于 家居 空间 起到 了 至关重要 的 作用 . 它 可以 把 家居 空间 改造 得 更加 方正 ， 使 功能 区域 分布 更加 合理 ， 家具 的 搭配 也 显得 错落有致 ， 从而 让 人 的 居住 环境 更加 地 舒适 . 下面 的 案例 就是 户型 优化 所 带来 的 惊喜 . 
 家居 	 家居 窗帘 设计 主要 因素 ( 组图 ) 首先 ， 你 应当 清楚 ， 家居 窗帘 设计 注意 的 因素 。 你 要 设计 的 窗帘 是 悬挂 于 何处 ， 是 客厅 还是 卧室 或是 餐厅 、 书房 。 因为 不同 的 环境 对 窗帘 的 要求 不同 。 客厅 的 窗帘 好像 你 待客 时 穿 的 一件 衣服 ， 款式 应 庄重 一些 ， 颜色 和 图案 不宜 太花 ; 而 卧室 是 你 私密性 较强 的 地方 ， 和 你 的 睡衣 有点 相似 ， 窗帘 款式 则 可 自由 奔放 ， 色彩 也 可 艳丽 一些 、 但 很多 人 喜欢 安宁 的 色调 ， 这要 看 个人 的 需要 ; 书房 需要 清静 ， 应 至少 雅 ; 而 餐厅 是 全家人 享受 美味 的 地方 ， 窗帘 应 显得 轻松 。 这 只是 一般 的 原则 ， 如果 你 要 追求 另类 的 效果 ， 就 另当别论 了 。 其次 ， 应 确定 你 要 制造 的 居室 氛围 ， 窗帘 的 成功 设计 不能 缺少 这一 更 深层次 的 考虑 。 因为 不同 花色 、 款式 的 窗帘 能 制造 不同 的 居室 气氛 ， 而且 ， 就 一种 居室 风格 来说 ， 也 可以 有 多 咱 窗帘 的 选择 。 
 家居 	 家居 装修   巧刷 涂料 装扮 靓丽 墙面 ( 组图 ) 刷 涂料   最 常用 的 方式 首先 要 对 墙面 进行 基本 处理 ， 用 腻子 找 平 ， 然后 刷 涂料 ， 墙面 与 地面 用 踢 角线 做 收口 ， 这是 墙面 装饰 最 简单 也 最 常用 的 方式 ， 房间 看起来 也 比较 宽敞明亮 。 乳胶漆 的 选择 很 重要 ， 购买 之前 可以 晃 一晃 ， 能 听到 声音 的 就 证明 黏度 不够 ， 很 可能 是 “ 注水 ” 了 。 刷 涂料 的 缺点 是 缺少 变化 ， 可以 用 k > 油画 、 相片 、 射灯 来 弥补 。 
 家居 	 家居 装修 还是 以 装饰 实用主义 为 好 ( 图 ) 家居 装修 还是 以 装饰 实用主义 为 好 ， 有 的 业主 不 喜欢 花哨 的 装修 ， 清新 淡雅 、 自然 舒服 就 好 
 家居 	 家居装饰 典雅 大气   值得 借鉴 ( 图 ) 这是 一组 典型 的 中产 之 家 ， 家居装饰 典雅 大气 ， 简约 之中 不乏 奢华 妩媚 ， 品味 也 是 相当 的 不错 ， 值得 借鉴 。 
 家居 	 家居 风格 尽量 与 闪亮 色泽 相 搭配 ( 图 ) 1 、 古典主义 的 家居 风格 尽量 与 闪亮 色泽 相 搭配 ， 才能 体现 出 古典 浪漫 风格 布艺 的 高贵 和 奢华 感 。 2 、 点缀 家居 空间 时 ， 带有 金属元素 的 布艺 搭配 在 一起 ， 更 显现 华贵 装饰 效果 。 3 、 为 闪亮 色泽 增添 生机 ， 可以 在 布艺 中 搭配 少许 亮丽 的 颜色 ， 如亮 蓝色 或 红色 ， 增添 更 多 高级 而 华贵 的 感觉 。 
 家居 	 家居风水   玄关 设计 的 五大 注意事项 ( 组图 ) 1 .   客厅 玄关 的 间隔 应 以 下面 实心 ， 防止 外泄 ， 上面 以 通透 为主 。 因此 可以 用 通透 的 磨砂玻璃 或者 空心 的 博古架 之类 的 。 
 家居 	 家居饰品   让 情调 渲染 你 的 家 ( 组图 ) 一个 家庭 最 重要 的 就是 情调 ， 让 可爱 的 小物 点缀 你 的 家 ， 让 生活 也 充满 乐趣 。 
 家居 	 家居饰品   让 生活 充满 乐趣 ( 图 ) & nbsp ; 一个 家庭 最 重要 的 就是 情调 ， 让 可爱 的 小物 点缀 你 的 家 ， 让 生活 也 充满 乐趣 。 
 家居 	 家居 饰物 以及 水果 外观 的 食物 罐 ( 图 ) 五 、 丰收 之喜 西方 文化 中 象征 着 兴旺发达 的 兔子 造型 家居 饰物 以及 水果 外观 的 食物 罐 ， 代表 超级 自然主义 具有 亲和力 的 一面 。 家居装饰 设计 始终 无法 脱离 人们 情感 的 表达 。 
 家居 	 家庭暴力   黄金版 水晶 器皿 ( 图 ) 家庭暴力   “ 黄金版 ” 水晶 器皿 这是 Koncern 工作室 在 米兰 国际 家饰 展上 展出 的 一组 名为 “ 家庭暴力 — — 黄金版 ” 的 水晶 器皿 ， 仿佛 重现 了 家庭暴力 后 的 狼藉 场面 — — 刀锋 过处 ， 水晶 器皿 被 齐齐 削断 。 配合 一把 黄金 菜刀 ， 无论 酒杯 、 碟子 都 刻意 做成 被 削去 一角 的 处理 ， 设计师 在 刀痕 切口 的 镀金 处理 更是 夸大 了 破损 感 ， 除了 造型 充满 创意 ， 对 家庭暴力 的 思考 也 发人深省 。 
 家居 	 家有 宝贝 的 首选   书房 气质 的 儿童房 ( 组图 ) 让 孩子 在 知识 的 殿堂 里 茁壮成长 是 爸爸妈妈 的 责任 ， 所以 ， 一款 为 孩子 精心设计 的 房间 显得 尤为重要 ， 看看 这些 兼具 书房 气质 的 儿童房 ， 快快 为 宝贝 量身 订作 吧 ！ 让 孩子 在 知识 的 殿堂 里 茁壮成长 是 爸爸妈妈 的 责任 ， 所以 ， 一款 为 孩子 精心设计 的 房间 显得 尤为重要 ， 看看 这些 兼具 书房 气质 的 儿童房 ， 快快 为 宝贝 量身 订作 吧 ！ 
 家居 	 家能 带给 每个 人 放松 的 休闲 时光 ( 图 ) 忙碌 了 4 个 多月 ， 硬装 总算 是 结束 了 ， 本想 学学 其他 DX 写个 装修 日记 什么 的 ， 可惜 眼看 着 把 装修 日记 写成 了 周记 ， 周记 写成 了 月 记 。 算了 ， 还是 直接 交 图片 作业 吧 。   
 家居 	 家装 用 减法   打造 时尚 简约 风 ( 组图 ) 在 装修 和 陈设 中 用 减法 ， 可以 给 我们 居住 的 空间 留白 。 在 繁华 与 快节奏 的 生活 中 ， 坚持 减法 思维 可以 让 家 变得 纯净 、 轻松 而 舒适 。 加法 是 最 直接 的 装修 手法 ， 在 加法 思维 中 ， 我们 有时 会 身陷 太多 的 元素 而 失去 分寸 ， 于是 平添 了 多余 的 结构 和 装饰 。 但是 ， 随着 阅历 的 增加 ， 我们 逐渐 有 了 减法 意识 ， 有 了 取舍 的 判断 。 对于 设计 和 购置 自己 的 家 ， 我们 开始 逆向 思维 ， 减掉 零碎 的 空间 划分 ， 去掉 堆砌 的 颜色 和 摆设 ， 拆解 拥堵 的 结构 ， 并且 严格 筛选 自己 的 物品 。 于是 我们 希望 在 忙碌 之后 ， 给 自己 创造 一个 可以 深呼吸 的 家 ， 因为 视觉 和谐 的 家居设计 ， 最终 可以 让 人 精神 放松 。 但是 说 到 减法 ， 也 不必 等同于 极简 主义 ， 那种 “ 多一笔 和 少 一笔 对 效果 都 有所 减损 的 极致 境界 ” 并 不是 做 减法 的 目的 。 开放式 厨房 营造 出 一个 放大 的 厨房 和 餐厅 ， 所以 在 用材 和 色彩 上餐 厨 也 要 保持一致 。 
 家居 	 家里 当然 是 温馨 得 让 人 爱不释手 ( 图 ) 喜欢 卡普奇诺 的 温馨 柔美 ， 咖啡 的 味道 馨香 醉人 ， 家里 当然 也 是 温馨 得 让 人 爱不释手 。 
 家居 	 家里 整体 搭配 的 鞋柜 真不容易 ( 图 ) 门前 的 鞋柜 网购 于 淘宝 ， 实木 彩绘 ， 造型 古朴 优雅 ， 乍一看 是 8 个 抽屉 ， 其实 是 两扇门 ， 找到 一款 和 家里 整体 搭配 的 鞋柜 还 真不容易 ， 物流 到 的 那天 是 9 月 30 号 ， 马上 就 放 十一 假 了 ， 而 再 过 几日 就 大婚 ， 紧 赶慢 赶 算是 运到 了 ， 万幸 。 鞋柜 上 的 电话 已经 被 老公 改装 了 ， 因为 考虑 家里 不 需要 座机 ， 又 很 喜欢 这个 电话 的 造型 ， 就 买 了 来 ， 由 老公 改装成 门铃 ， 线路 和 门铃 线路 连接 ， 由 一个 键子 控制 楼下 单元 门 的 开关 。 门前 的 鞋柜 网购 于 淘宝 ， 实木 彩绘 ， 造型 古朴 优雅 ， 乍一看 是 8 个 抽屉 ， 其实 是 两扇门 ， 找到 一款 和 家里 整体 搭配 的 鞋柜 还 真不容易 ， 物流 到 的 那天 是 9 月 30 号 ， 马上 就 放 十一 假 了 ， 而 再 过 几日 就 大婚 ， 紧 赶慢 赶 算是 运到 了 ， 万幸 。 鞋柜 上 的 电话 已经 被 老公 改装 了 ， 因为 考虑 家里 不 需要 座机 ， 又 很 喜欢 这个 电话 的 造型 ， 就 买 了 来 ， 由 老公 改装成 门铃 ， 线路 和 门铃 线路 连接 ， 由 一个 键子 控制 楼下 单元 门 的 开关 。 
 家居 	 家里 没有 合适 的 地方 当 药品柜 ( 图 ) 问题 ： 家里 没有 合适 的 地方 当 药品柜 。 解决 方法 ： 将 厕所 与 浴室 隔开 的 这 面墙 可以 帮 你 解决 。 又 用 玻璃 将 柜子 里面 分为 了 五层 ， 空间 得到 了 最大 限度 的 利用 。   
 家居 	 家里 火红 一片 ( 图 ) 套内 100 平 左右 ， 三室两厅 两位 。 装修 差不多 一年 半 ， 泡过 无数 装修论坛 ， 各种 贴 看 了 个 遍 ， 再 综合 下 自己 的 实际 情况 ， 于是 就 有 了 现在 的 家 ， 由于 宝宝 还 小 ， 我们 娘 了 女儿 都 喜欢 红色 ， 家里 火红 一片 ， 凑 活着 看吧 。 
 家居 	 容祖儿   2000 万 购豪宅 赶工 装修 ( 图 ) 8 。 容祖儿 ： 2000 万 购豪宅 赶工 装修 容祖儿 去年 尾 斥资 二千 多万元 ， 购入 香港 司徒 拔道 松柏 新村 一 高层 单位 作为 投资 之用 ， 但 最近 有人 目睹 容 妈妈 经常 出入 该 单位 ， 该 单位 目前 正 赶工 装修 ， 据悉 祖儿 打算 将 由 旧 山顶 道 搬入 此 单位 居住 ！ 据知 一直 以来 祖儿 都 有作 物业 投资 ， 去年 年底 ， 祖儿 便 斥资 二千 多万元 ， 购入 司徒 拔道 松柏 新村 一个 三房两厅 ， 约 250 平米 的 高层 单位 。 由于 当时 祖儿 仍 租住 旧 山顶 道 豪宅 ， 故此 新购 单位 只是 作 投资 之用 。 不过 近日 有人 目睹 容 妈妈 经常 出入 松柏 新村 的 单位 ， 而 该 单位 现时 正 大肆 装修 ， 据悉 祖儿 正 计划 搬往 此处 ， 想 赶及 在 4 月份 入伙 。 容 妈妈 不时 抽空 视察 进度 。 记者 就 此事 向 祖儿 经理人 霍汶 希求 证 ， 她 不置可否 地说 ： " 她 的 单位 是 在 装修 ， 至于 其他 的 事 我 就 不便 透露 ！ " 另外 ， 祖儿 最近 获 韩国 护肤品 品牌 MIOGGI 的 邀请 ， 成为 其 首位 香港 区 代言人 ， 日前 祖儿 便 为 品牌 拍摄 首季 最新 平面广告 ， 该 品牌 的 高层 及 老板 许先生 专程前往 探班 ， 更 带备 燕窝 及 燕窝 蛋挞 慰劳 祖儿 及 一班 工作人员 。 当天 祖儿 要 拍摄 三个 造型 ， 时间 相当 紧迫 ， 稍息 时祖儿 与 许先生 闲谈 ， 当 得知 他 是 港九 药房 总商会 的 会长 ， 并 拥有 多个 保健食品 的 品牌 及 药房 时 ， 祖儿 笑 道 ： " 我 成天 出埠 工作 和 旅行 ， 好多 时 都 要 带备 随身 药物 ， 那 我 以后 是不是 可以 有 免费 赞助 ？ " 许先生 闻言 即 大方 表示 没 问题 。 
 家居 	 宽大 收纳 功能 的 条桌   可 隐藏 条几 ( 图 ) 家具 挑选 ： 宽大 收纳 功能 的 条桌 + 可 隐藏 条几 ： 条 字形 的 设计 ， 将 桌 的 台面 比较 宽大 ， 一些 常用 书写 用品 完全 可以 由 条桌 收纳 起来 
 家居 	 宽大 的 沙发   静候 归 家 ( 图 ) 宽敞 的 门厅 ， 宽大 的 沙发 ， 静候 归 家人 
 家居 	 密 空间   让 生活 有 激情 ( 图 ) 密 空间 ， 让 生活 有 激情 从来 没有 一个 人 是 单面 的 ， 也 没有 一种 生活 是 平面 的 。 在 感受 赖亚楠 纯粹 的 静 生活 之外 ， 又 发现 她 对 自己 设计 工作 充满 激情 的 一面 。 走进 她 的 工作室 ， 这里 几乎 毫无 空隙 ， 只身 进去 ， 就 被 四周 堆积 的 设计 书籍 、 画稿 ， 以及 琳琅满目 的 从 世界各地 带回 的 器物 包围 ， 几乎 没有 避让 之地 。 赖亚楠 说 这 就是 她 工作 的 氛围 ， 也 是 她 工作 时 的 情绪 。 一旦 投入 到 工作 中 ， 她 内心 的 激情 就 被 点燃 ， 自己 生活 中空 的 一面 就 渴望 被 填满 ， 她 要 让 一切 可以 激发 她 灵感 和 创意 的 元素 包围 着 她 ， 更 需要 感受 那种 创作 的 冲动 。 
 家居 	 对决 空间   美式 新意 VS 中式 创意 ( 组图 ) 去芜存菁 的 美式 风格 重现 一个 美式 住家 ， 设计者 该 思索 的 不 只是 表面 上 的 用色 与 线板 配置 ， 从 生活 思维 开始 着手 ， 格局 的 重置 成就 了 一个 自在 的 开放 场域 ， 在 此 也 能 呼吸 到 自由 气息 ， 于是 面对 一个 新成 屋 ， 首先 就是 移除 原本 太多 的 隔间 ， 扩展 空间 运用 的 多元性 。 因为 墙面 的 更动 ， 厨房 全然 开放 ， 但 又 巧 秒 地 规划 在 整体 住宅 中 的 转角处 ， 与 孩子 的 游戏 区 与 餐厅 紧连 ， 加强 亲子 间 紧密 相亲 的 情感 ， 有别于 东方 家庭 中 各自 活动 的 疏离 。 
 家居 	 对应 全室 华贵 宫风 的 艺术 气息 ( 图 ) 对应 全室 华贵 宫风 的 艺术 气息 ， 厅 内 特别 依 空间 比例 搭配 姿态 优美 的 纯手工 订制 家俱 ， 极尽 瑰丽 细腻 的 工笔 。 主墙 柜体 精选 黑云 石台 面 ， 对称 两端 方柱 底部 的 玻璃 马赛克 ， 仔细 拼出 完整 而 连续 的 肌理 ， 连贯 一气呵成 的 气势 。 
 家居 	 对比色 不失为 一种 好 的 装修 手法 ( 图 ) 4 款 特色 学龄儿童 卧房 赏析 
 家居 	 对 海上 皇宫   各方 各持 说法 各方 说法 “ 海上 皇宫 ” 无论是 从 建设 还是 定位 ， 都 与 “ 现代化 休闲 渔业 ” 的 目标 背道而驰 ， 脱离 了 政府部门 的 监管 ， “ 所以 我们 依法 做出 了 处罚 ， 提起 了 诉讼 。 ” — — 龙岗 渔政 渔监 大队 负责人 龙岗 渔政 ： “ 海上 皇宫 ” 属 违法 用 海带 着 网友 的 质疑 ， 记者 决定 到 相关 主管部门 求证 。 就 在 寻找 过程 中 ， 广东省 海洋 与 渔业 管理局 网站 上 的 一则 有关 “ 深圳市 龙岗区 东山 海上 构筑物 行政处罚 听证会 ” 的 信息 吸引 了 记者 的 目光 。 这则 消息 显示 ： “ 位于 龙岗区 南澳 东山 浅海养殖 区内 的 海上 构筑物 ( 被 外界 称为 “ 海上 皇宫 ” ) 未办理 海域 使用 权证 ， 属于 违法 用海 。 ” 且 同时 显示 ， 深圳市 龙岗区 海洋局 已经 于 2008 年 1 月 批准 立案 调查 ， 查实 “ 海上 皇宫 ” 非法 占用 海域 面积 达 1.58 公顷 。 “ 依据 《 中华人民共和国 海域 使用 管理法 》 及 相关 法律法规 ， 深圳市 龙岗区 海洋局 对 " 海上 皇宫 " 的 主管 单位 处以 71.1 万元 行政处罚 并 责令 其 限期 恢复 海域 原状 。 ” 随后 ， 记者 致电 龙岗 渔政 渔监 大队 ， 其 负责人 证实 了 这 一 信息 。 他 表示 ， “ 海上 皇宫 ” 确实 存在 违法 用海 行为 ， 且 该 大队 已 依法 向 龙岗区 法院 提起 诉讼 ， 要求 其 限期 恢复 海域 原状 。 该 负责人 还 表示 ， 关于 “ 海上 皇宫 ” ， 以前 省里 确实 有过 指示 ， 允许 该 项目 作为 现代化 休闲 渔业 来 发展 。 但是 后来 ， “ 海上 皇宫 ” 无论是 从 建设 还是 定位 ， 都 与 “ 现代化 休闲 渔业 ” 的 目标 背道而驰 ， 脱离 了 政府部门 的 监管 ， “ 所以 我们 依法 做出 了 处罚 ， 提起 了 诉讼 。 ” 我们 有 广东省 海洋局 的 批文 ， 海上 皇宫 作为 一个 高档 海洋 休闲 项目 ， 省 海洋局 有关 领导 都 到 这里 考察 过 ， 并 在 2008 年 批文 允许 我们 先行 先试 。 ” — — 深圳 某 地产 企业 董事长 郭奎章 “ 海上 皇宫 ” 主人 ： 有 “ 先行 先试 ” 的 批文 记者 千方百计 联系 到 了 “ 海上 皇宫 ” 的 主人 — — 深圳 某 地产 企业 董事长 郭奎章 。 对于 渔政 大队 的 说法 ， 他 表示 了 不同 的 意见 。 晶报 ： 听说 海上 皇宫 未办理 海域 使用 权证 ， 属于 违法 用海 ？ 郭奎章 ： 我们 有 广东省 海洋局 的 批文 ， 海上 皇宫 作为 一个 高档 海洋 休闲 项目 ， 省 海洋局 有关 领导 都 到 这里 考察 过 ， 并 在 2008 年 批文 允许 我们 先行 先试 。 因为 这种 形式 在 以前 是 没有 的 ， 海上 皇宫 属于 漂浮物 ， 以前 也 没有 相关 法律法规 的 规定 。 晶报 ： 但是 海上 皇宫 2003 年 起 就 存在 了 吧 ？ 郭奎章 ： 当时 我们 有 跟 村里 签 合约 ， 这个 合约 至今 有效 。 此外 我们 还有 南澳 街道办 的 批文 。 当时 这是 一个 扶贫 项目 ， 因为 村里 也 想 就此 解决 一些 就业 ， 带动 经济 发展 。 你 想想 ， 这么 大 一个 项目 ， 投资 很多 ， 也 不是 一天两天 就 能 建成 的 ， 我 不 可能 没有 得到 任何 批文 就 贸然 动工 。 晶报 ： 海上 皇宫 解决 了 多少 原 村民 的 就业 ？ 郭奎章 ： 十几个 。 晶报 ： 为何 龙岗 渔政 渔监 大队 还 在 依法行政 呢 ？ 郭奎章 ： 可能 是 地方 和 省里 对 问题 的 理解 有 不同 。 我们 会 继续 与 龙岗 有关 部门 沟通 。 晶报 ： 但是 龙岗 法院 已经 在 “ 走 程序 ” 了 ， 海上 皇宫 会 不会 被 拆 了 呢 ？ 郭奎章 ： 不会 的 。 晶报 ： 海上 皇宫 是 私人 会 所 吧 ， 如果 不是 你 的 朋友 ， 是 不能 进入 的 。 郭奎章 ： 是 的 。 但是 很多 深圳 各界 的 朋友 ， 都 来 这里 玩过 ， 我 都 是 免费 招待 大家 。 晶报 ： 既然 是 建设 在 公共 海域 上 ， 有没有 可能 让 会 所 的 开放度 加大 一些 ， 让 更 多 市民 和 企业家 都 来 分享 这份 休闲 呢 ？ 郭奎章 ： 这个 不大可能 。 因为 我 也 没有 想 就此 牟利 ， 都 是 免费 的 。 晶报 ： 这个 项目 投资 多少 ？ 郭奎章 ： 七八千万 吧 。 
 家居 	 对称 与 不 对称 的 对话 ( 图 ) 3 、 对称 与 不 对称 的 对话 即使 是 传统 中式 的 颜色 和 家具 ， 重新组合 调配 之后 便 呈现出 不同 的 意境 。 传统 的 中式 讲究 对称 ， 而 新 中式 在 布局 上 打破 了 这 一点 。 家具 和 靠 包 之间 高低 错落 的 关系 ， 可以 打破 传统 元素 过多 的 沉闷 。 
 家居 	 将 冷冰冰 的 铁窗 暖化 ( 图 ) 将 冷冰冰 的 铁窗 暖化 如果 你 每天 起来 从 窗台 望去 ， 首入 眼帘 的 就是 冷冰冰 铁 铝窗 ， 难免会 形成 一种 孤单 凄冷 的 心境 ， 你 的 心硬 了 、 冷 了 就 自 自然 表露 在 你 的 情绪 、 表情 上 流露出来 ， 让 人 没法 靠近 … … 所以 要 在 铁窗 加装 窗帘 或 摆放 几盆 柔和 的 植物 ， 除了 在 视觉 中 让 你 的 房间 更 温暖 外 ， 也 会令 你 渐渐 散发出 令人 感觉 亲切 温暖 的 阳光 气息 。 
 家居 	 将 户外 的 风景 带入 你 的 家中 ( 图 ) 这些 马赛克 瓷砖 组成 了 精美 的 图案 ， 浴室 仿佛 变成 了 艺术品 的 展厅 。 这些 三维 设计 图案 ， 多 是 自然风光 ， 将 户外 的 风景 带入 你 的 家中 。   
 家居 	 将 木地板 从 地面 延伸 到 墙面 ( 图 ) 将 木地板 从 地面 延伸 到 墙面 ， 整体感 更强 ， 空间 也 更 洁净 。 卧室 落地灯 上 闪亮 的 珠片 ， 床上 轻垂 的 沙幔 和 绵软 的 靠 包 ， 化解 了 中式 木床 的 沉重 。 
 家居 	 将 生活 品味 融入 空间 配置 ( 图 ) 将 生活 品味 融入 空间 配置 事业成功 的 屋主 ， 对于 生活 品味 有 相当 的 要求 ， 尤其 品酒 搜藏 的 嗜好 ， 更是 生活 的 重点 。 将 空间 重新配置 ， 设计师 为 搜藏 红酒 又 喜爱 在家 品酒 的 屋主 ， 在 客厅 角落 规划 了 的 酒窖 ， 以 橡木 做 为主 材质 ， 并 透过 恒温 的 设计 让 家用 的 酒窖 也 有着 专业 的 水平 ; 除此之外 ， 还 以 中岛型 吧台 代替 一般 传统 的 吧台 ， 特别 挑选 的 雪白 银狐 大理石 搭配 高脚 椅 ， 让 空间 更显 质感 。 
 家居 	 将 盥洗 的 空间 独立 出来 ( 图 ) 3 . 将 盥洗 的 空间 独立 出来 很多 人家 中 浴盆 、 马桶 、 面盆 均 在 一个 空间 内 ， 每次 洗脸 或者 洗澡 的 时候 总是 感觉 心中 别别扭扭 的 ， 设计师 巧妙 地 将 一堵 矮墙 和 一个 围挡 单独 设计 出来 ， 整个 盥洗 的 空间 就 变得 相对 独立 了 。 轻巧 简洁 的 面盆 和 马桶 被 围拢 在 一起 ， 地面 做过 防水 处理 的 皮草 提升 了 整个 空间 的 质感 ， 窗外 灵动 的 自然光 和 简单 的 落地灯 ， 保证 了 盥洗 空间 的 照明 需要 ， 整个 环境 自然 流畅 ， 是 功用 主义 的 良好 体现 。 
 家居 	 小 三 喜欢 什么 风格 卧室 ( 组图 ) 白天 我们 在 外面 忙碌 ， 晚上 是 放松 身心 、 调整 状态 的 最佳 时间 ， 也 是 和 爱人 亲密 相处 、 温馨 交流 的 时机 ， 在 这个 属于 自己 、 属于 伴侣 的 时间 里 ， 卧室 怎么 能 不 调节 出 恰到好处 的 气氛 呢 ? 卧室 的 扮靓 可 不仅仅 是 添置 些 家具 那么 简单 哦 ， 在 灯光 、 色调 、 床品 、 地毯 、 窗帘 、 香熏 等 方面 稍稍 做些 调整 ， 可能 就 会 营造 出 不 一样 的 氛围 ， 给 你 不 一样 的 惊喜 。 
 家居 	 小厨房 是 主人 最 喜欢 停留 的 地方 ( 图 ) 进门 左手边 的 小厨房 是 主人 最 喜欢 停留 的 地方 ， 因为 可以 鼓捣 各种 吃食 。 
 家居 	 小坪数 有 如此 丰富 的 机能 运用 ( 图 ) 对于 小坪数 却 能 有 如此 丰富 的 机能 运用 ， 视觉 上 又 不 显得 拥挤 ， 设计师 发挥 了 几点 巧思 ， 例如 ， 夹层 区 选用 地中海 常见 的 白墙 ， 以 白色 系 铺排 清爽 的 视觉效果 ; 光源 设计 上 ， 一楼 以立灯 、 壁灯 、 小嵌 灯 ， 二楼 则 在 天花板 规划 长形 间接 灯光 ， 避开 吊灯 、 吸顶灯 引起 的 视觉 压迫 ; 动线 安排 上 ， 所有 的 空间 距离 、 比例 皆 经过 精算 ， 且 所有 结构 凹凸 的 地方 皆 善加利用 ， 例如 二楼 的 梁柱 即 规划 为 衣物 柜 空间 ， 加以 巧妙 修饰 遮挡 。 透过 设计师 睿智 的 规划 ， 不必 额外 订做 小型 家具 来 配合 现场 ， 就 能 完成 兼具 时尚 美感 及 丰富 机能 的 小品 居家 ， 作品 令人 激赏 。 
 家居 	 小型 区域 增添 了 不 一样 的 表情 ( 图 ) 一组 补充 光源 给 小型 区域 增添 了 不 一样 的 表情 ， 并 形成 了 有 层次 的 光效 ， 有助于 舒缓 情绪 。   
 家居 	 小天使 壁挂 是 聚氨酯 材料 的 ( 图 ) 小天使 壁挂 是 聚氨酯 材料 的 ， 比 石膏 制作 的 更 精细 些 ， 较 石膏 破损 率低 ， 价格 也 比 石膏 的 贵 ， 360 一对 儿 ， 天使 托起 的 绿色 装饰 是 另外 买来 的 ， 仿真 花卉 尤加利 叶 ， 36 元 两束 。 
