家居 	 给 人 带来 不 一样 的 视觉效果 ( 图 ) 这种 两边 纤薄 的 沙发 ， 给 人 带来 不 一样 的 视觉效果 ， 配 上 两个 传统 的 鸡尾酒 小桌 ， 增加 了 空间 的 实用 功能性 。 墙面 的 空间 ， 用 一组 别致 的 瓷器 作为 展示 ， 聚集 了 整个 空间 的 焦点 。 
 家居 	 一种 揉 和 了 蓝色 绿色 的 奇妙 组合 ( 图 ) 水瓶座   蓝 / 蓝绿 一种 揉 和 了 蓝色 、 绿色 、 和 黄色 的 奇妙 组合 。 如何 检视 你 的 水瓶 能量 ? 看看 你 是否 熟悉 网路 世界 的 运作 ， 各种 高科技 的 新知 学习 ， 以及 能否 发挥 自我 创意 … 即可 知道 你 可 有 得到 水瓶座 的 能量 。 多 运用 蓝绿色 帮助 自己 ， 你 将 可以 在 新 时代 中 展露头角 ， 不再 惧怕 公然 表现 自我 的 价值观 ， 你 也 将 更 满意 自己 。 
 家居 	 一种 浪漫 而 精致 的 气质 ( 图 ) 小 女人 、 小资 、 小 房子 ， 常有 一种 浪漫 而 精致 的 气质 。 霓裳 的 都市 流彩 中 “ 小 ” 有着 让 人 折服 的 魅力 ， 独立 、 自由 。 然而 “ 小 ” 并 不能 限制 我们 创造力 的 “ 大 ” ， 45 平 的 小户型 我们 也 要 用心 装 出 豪宅 味 ！   霓裳 的 都市 流彩 中 “ 小 ” 有着 让 人 折服 的 魅力 ， 独立 、 自由 。 然而 “ 小 ” 并 不能 限制 我们 创造力 的 “ 大 ” ， 45 平 的 小户型 我们 也 要 用心 装 出 豪宅 味 ！   
 家居 	 三张 纯白 亚麻布 面 的 沙发 ( 图 ) 跨进 客厅 ， 正中 摆放 的 是 三张 纯白 亚麻布 面 的 沙发 ， 只有 上面 斜倚 的 两只 湖 蓝色 靠垫 和 墙上 悬挂 的 金色 的 油画 ， 为 这间 以 白色 为主 色调 的 客厅 做 着 别致 的 点缀 。 而 与 客厅 相连 的 餐厅 ， 选择 的 主色调 也 是 白色 ， 让 人 首先 联想 到 清雅 和 干净 。 就 连 落地窗 前 金属结构 的 餐桌 和 椅子 熠熠 闪着 的 冷光 ， 以及 桌上 厚重 的 瓷质 餐盘 凝聚 的 朴拙 和 静谧 ， 似乎 都 在 告诉 来客 ， 女主人 的 生活 主张 与 她 本人 爱 “ 热闹 ” 的 个性 完全 不同 。 至于 李湘 深感 骄傲 的 那 几套 式样 新颖 的 餐具 ， 那 是 她 从 泰国 带 回来 的 ， 李湘 说 她 十分 偏爱 泰国 的 生活用品 。 这些 纯手工 制作 的 厨具 替 素净 的 餐厅 增添 一份 生活 情趣 。   顺着 房间 一侧 的 楼梯 上 到 二层 ， 来访者 豁然 面对 的 第一个 空间 是 李湘 的 书房 。 它 没有 门扉 的 阻隔 ， 完全 开放式 的 设计 使得 原本 不 很大 的 书房 顿显 宽敞 ， 阳光 四处 流动 。 坐在 书房 中 那 张 购自 意大利 的 太阳 状 沙发 上 看书 ， 或是 对 着 书柜 边 飘动 的 白色 纱帘 发 发呆 ， 都 可 尽享 最 惬意 的 时光 。 
 家居 	 三款 个性 的 改装 家居 ( 组图 ) 客厅 是 多 人口 家庭 的 假日 根据地 ， 那么 沙发 无疑 是 这块 根据地 的 超级 道具 ， 它 的 款式 、 色彩 、 摆放 位置 可以 影响 整个 家 的 气质 。 在 家中 营造 轻松 惬意 的 聚会 氛围 ， 怎么 能 忽视 这些 舒服 、 温情 的 改装 东东 呢 ？   图为   三款 个性 的 改装 家居 购 败家   客厅 的 主角 永远 是 沙发 ， 除了 令人 惊艳 的 美丽 外观 ， 我们 还要 尽可能 选择 坐 着 舒服 、 靠着 悠哉 、 躺 着 惬意 的 豪华 沙发 ， 还原 坐卧 的 基础 功能 ， 让 家中 每个 成员 都 享受 到 天堂 般的 欢畅 。   
 家居 	 下沉 式 花园 的 上面   是 一个 实用 的 小 露台 ( 图 ) 下沉 式 花园 的 上面 ， 是 一个 实用 的 小 露台 。 质朴 的 木地板 和 茂盛 的 植物 ， 是 打造 休闲 感觉 小 庭院 或 露台 的 有力 手段 。   
 家居 	 不会 丢落 的 衣夹 USB 我们 常用 的 USB 小巧 便携 ， 似乎 没有 缺点 。 等等 ， 由于 太过 小巧 ， 你 可能 一不留神 就 会 忘记 它 在 哪里 ， 又 可能 落 在 书包 里 不 容易 找到 … … 于是 ， 有人 把 衣夹 和 USB 结合 在 一起 ， 它 是 USB ， 有着 衣夹 的 外形 ， 直接 夹 在 衣服 上 就 能 带走 ， 不会 混在 一堆 杂物 里 找 不到 ， 用 它 夹住 留言 、 便条 、 重要 的 资料 ， 也 是 不错 的 选择 。   
 家居 	 不会 让 喜欢 田园 碎花 的 你 失望 ( 图 ) 48 平 田园 风格 的 小 复式 样板间 ， 你 见 过 没 ? 如何 将 小小的 空间 装修 得 既有 田园 风味 又 不失 时尚 魅力 。 看看 下面 的 装修 样板间 ， 绝对 不会 让 喜欢 田园 碎花 的 你 失望 。 
 家居 	 不要 用 单一 的 金色 装饰 房间 ( 图 ) 6 . 不要 用 单一 的 金色 装饰 房间   金色 熠熠生辉 ， 显现 了 大胆 和 张扬 的 个性 ， 在 简洁 的 白色 衬映 下 ， 视觉 会 很 干净 。 但 金色 是 最 容易 反射 光线 的 颜色 之一 ， 金光闪闪 的 环境 对 人 的 视线 伤害 最大 ， 容易 使人 神经 高度 紧张 ， 不易 放松 。   建议 避免 大面积 使用 单一 的 金色 装饰 房间 ， 可以 作为 壁纸 、 软帘上 的 装饰 色 ； 在 卫生间 的 墙面 上 ， 可以 使用 金色 的 马赛克 搭配 清冷 的 白色 或 不锈钢 。 为了 让 居室 的 环境 更 有 亲和力 ， 不妨 在 角落里 摆放 些 绿色 的 小 盆栽 ， 使 房间 里 充满 情趣 。 
 家居 	 与 花朵 同憩 与 花朵 同憩 休闲 区 似乎 总是 家中 装饰 得 最 活泼 的 地方 ， 摆放 的 鲜花 也 变得 花团锦簇 起来 。 长椅 上 颜色 各异 的 靠 包 从 柔粉 到 浅绿 ， 从 花朵 图案 到 不规则 的 几何图形 ， 还有 那些 清爽 的 格纹 ， 一下子 便 打破 了 白色 休闲 木椅 的 单调 和 硬朗 。 手绣 靠 包 的 做工 十分 精细 考究 ， 暗金 、 粉 紫 和 湖蓝 ， 清新 的 颜色 有 层次 地 混合 搭配 在 一起 ， 清爽 悦目 ， 缎面 和 丝绸 的 质地 也 正好 迎合 了 花朵 娇嫩 柔美 的 气质 。         床尾 一角 的 方凳 上 绿色 花纹 图案 低调 而 明快 ， 丝绒 质地 更 透出 一份 成熟 而 沉稳 的 质感 ， 即使 是 小小的 坐凳 也 同样 注重 细节 。 白色 床架 与 蓝色 床品 的 搭配 干净 简洁 ， 而 深蓝色 花朵 图案 无疑 增添 了 色彩 的 层次感 。 床头 边 绿色 的 玻璃 花瓶 中 娇嫩 的 黄色 雏菊 ， 生机勃勃 ， 给 室内 带来 无限 暖意 。 在 花丛 中 酣眠 卧室 的 色调 向来 不以 高 饱和度 的 色彩 取胜 ， 单一 的 大面积 纯色 固然 没什么 错 ， 但 总少 了 些许 生活 的 情调 ， 那么 尝试 用 各种 花卉 图案 的 配饰 来 装点 房间 吧 。 无论是 摆放 鲜活 的 花草 ， 还是 幻化成 家具 、 布艺 表面 的 花草 图案 ， 都 能 让 你 呼吸 到 纯净 自然 的 味道 。   
 家居 	 专家 教 您 客厅 风水 财运 10 绝招 ( 组图 ) 家居 住宅 风水 — 格局 协调 云 ： “ 宅以 形势 为 身体 ， 以 泉水 为 血脉 ， 以 土地 为 皮肉 ， 以 草木 为 毛发 ， 以舍 屋为 衣服 ， 以 门户 为冠带 。 若 是 如斯 ， 是 事 俨雅 ， 乃为 上 吉 。 ” 这是 古人 把 住宅 人性化 ， 说明 格局 搭配 得当 ， 对 住宅 与 人 都 是 很 重要 的 。 为何 有些 房子 一 走进 去 就 会 感觉 到 神清气爽 ， 如沐春风 ； 而 有 的 房子 则 感觉 压抑 沉闷 ， 坐立 不 宁 ？ 这 就 在于 格局 优劣 的 分别 。 四方 宽敞 、 正大光明 ， 布置 协调 的 格局 是 住家 上乘 之选 。   图为   专家 教 您 客厅 风水 财运 10 绝招 客厅 风水   客厅 不仅 是 待客 的 地方 ， 也 是 家人 聚会 、 聊天 的 场所 ， 应是 热闹 、 和 气 的 地方 。 客厅 中 的 挂 书 、 摆设 从 某种程度 上 也 是 品味 个性 的 象征 。   客厅 的 方位 尤其 重要 ， 在 传统 “ 风水 ” 中 被 称为 “ 财位 ” ， 关系 全家 的 财运 、 事业 、 名望 等 兴衰 ， 所以 客厅 布局 及 摆设 是 不容忽视 的 。   1 、 位置 客厅 是 家人 共用 的 场所 ， 宜 设在 房屋 中央 的 位置 ； 若因 客厅 宽敞 而 隔 一部分 做 卧房 则 是 最 不 理想 的 客厅 。   2 、 摆设 客厅 沙发 套数 不可 重复 ， 最忌 一套 半 ， 或是 一方 一圆 两组 沙发 的 并用 。 客厅 中 的 鱼缸 、 盆景 有 “ 接 气 ” 的 功用 ， 使 室内 更富 生机 , 而 鱼种 则 以 色彩缤纷 的 单数 为 好 。   3 、 财位 的 最佳 位置 是 进门 的 对角线 方位 。 此处 避免 柱子 和 凹处 ； 若有 窗户 可用 窗幔 遮住 ， 财位 才 不致 外漏 ； 若 此处 恰是 通道 ， 则 可 放置 屏风 ， 既 能 避免 穿透 的 尴尬 ， 亦可 形塑 一个 良好 的 财位 ； 以 繁茂 的 盆景 放置 财位 ， 能 使 运势 更佳 ， 宜选 叶片 大而圆 的 绿色植物 。   4 、 动线 客厅 的 动线 最宜 开阔 ， 视野 一眼 望穿 。 入门 处 不宜 看到 房间 门 和 后门 ， 否则 便 有 “ 前面 进 、 后门 出 ， 无法 聚财 ” 之患 ； 走道 也 应 避免 直向 或 横向 的 贯通 全室 。   5 、 梁柱 厅 内应 避免 梁 的 阻障 ， 可 在 其 上 改其 结构 装饰 成 各类 美丽 的 造型 。 如 传统式 拱门 ， 天花板 的 延伸 、 绘花 等 ， 也 可 干脆 分成 两个 区域 。 或是 在 墙壁 挂 一面镜子 ， 象徵性 的 补足 缺角 ， 然后 ， 当成 完整 的 房间 来 决定 中心点 。 方法 ：   第一招 : 方位   客厅 最好 位于 住家 的 前半部 靠近 大门 的 位置 ， 以便 直接 吸纳 从 大门 进入 的 气 。 如果 必须 经过 一条 走廊 才能 到达 客厅 ， 那 堋 走廊 一定 要 保持 整洁 ， 而且 照明 一定 要 充足 ， 以免 阻碍 气 进入 客厅 。 如果 是 夹层 屋 设计 ， 客厅 应 位于 下层 。   第二招 : 格局   客厅 的 格局 最好 是 正方形 或 长方形 ， 座椅 区 不可 冲煞 到 屋角 ， 沙发 不可 压梁 。 如果 有 突出 的 屋角 放出 暗箭 ， 可 摆设 盆景 或 家俱 化解 。   如果 客厅 呈 L 形 ， 可用 家俱 将 之 隔成 两个 方形 区域 ， 视为 两个 独立 的 房间 。 例如 ， 可 将 一个 区域 当成 会客室 ， 另 一个 区域 当成 起居室 。   第三招 : 调整 家饰   尖锐 的 物品 ， 例如 刀剑 、 火器 、 奖牌 、 动物 标本 ， 都 不 应该 挂 在 墙上 。 因为 这些 物品 都 会 产生 阴气 ， 导致 争吵 或 暴力行为 。 同样 的 也 应 避免 摆设 有陵角 的 台灯 或 装饰品 。   第四招 ： 气流 顺畅   一定 要 使气 顺畅 的 流通 在 客厅 之中 ， 不可 有会 聚积 秽气 的 死角 。   
 家居 	 专门 的 空间 设置 为 家庭影院 空间 ( 图 ) 4 .   空间 、 声学 处理 如果 资金 充足 ， 专业 的 声学 处理 会 让 你 事半功倍 ， 影音 顾问公司 可以 帮上 忙 ， 只是 这类 高 水准 的 公司 目前 还 不太多 。 如果 没有 充足 的 投入 也 并非 只能 恶声 相伴 ， 只要 用心 ， 同样 可以 获得 良好 的 效果 。 但 一些 基本 的 声学 规则 是 必须 遵循 的 ， 比如 不要 有太多 、 太大 的 玻璃窗 、 柜 ， 不要 太 单薄 的 书柜 等等 ， 这些 硬体 或松体 物品 都 是 声音 的 杀手 ， 特别 是 对于 低频 ， 这样 的 环境 完全 就是 灾难 ， 怎么 也理 不顺 。 而 地毯 、 沙发 、 书柜 、 挂画 、 窗帘 等等 都 是 调音 的 好 道具 ， 扩散 、 吸收 等 处理 多一些 的 环境 肯定 比 四面 光壁 好得多 。 另外 ， 如果 上大 画面 投影 ， 除了 严格 的 遮光 处理 ， 房间 色调 也 不要 太 明亮 ， 避免 反光 投射 回 屏幕 上 ， 使 图像 发灰 、 细节 丧失 。 
 家居 	 东北 缺角 不利 男子 ( 图 ) 东北 缺角 不利 男子 此 户型图 为 东北 缺角 ， 东北角 凹 进去 了 3 分 1 的 位置 ， 那么 东北角 代表 着 家中 的 男子 ， 和 在 商业 中 的 地位 ， 也 可 称为 靠山 ， 如果 没有 了 东北角 ， 那么 就 相当于 没有 了 靠山 、 财山 和 地位 ， 或者 是 家中 的 男子 不成器 。 
 家居 	 东欧 家居时尚 人士 的 推崇 ( 图 ) 东欧 家居 在 进来 的 几年 备受 城市 时尚 人士 的 推崇 。 它 的 风格 多以 简练 的 色彩 和 冷静 的 基调 为主 ， 在 强调 理性 冷静 的 同时 又 加入 少许 的 出奇 的 创意 加以 配置 ， 用 一部 电影 来 形容 它 的 风格 最 适宜 不过 — — 《 这个 杀手 不 太冷 》 。 那么 东欧 风格 的 书房 设计 又 是 怎样 的 呢 ， 从 下面 的 一组 图片 ， 让 你 充分 感受 书房 的 东欧 风格 的 理性 与 创意 的 完美 结合 。   
 家居 	 东欧 风格 与 创意 的 完美 结合 ( 图 ) 东欧 家居 在 进来 的 几年 备受 城市 时尚 人士 的 推崇 。 它 的 风格 多以 简练 的 色彩 和 冷静 的 基调 为主 ， 在 强调 理性 冷静 的 同时 又 加入 少许 的 出奇 的 创意 加以 配置 ， 用 一部 电影 来 形容 它 的 风格 最 适宜 不过 — — 《 这个 杀手 不 太冷 》 。 那么 东欧 风格 的 书房 设计 又 是 怎样 的 呢 ， 从 下面 的 一组 图片 ， 让 你 充分 感受 书房 的 东欧 风格 的 理性 与 创意 的 完美 结合 。 
 家居 	 丝绸 墙面 自在造 ( 组图 ) “ 梅 ” 香 挂画   如果 你 有 美术 功底 ， 平时 喜欢 随手 画 两笔 ， 不 防 挑战 这 款 难度 稍大 的 DIY 。 三块 大小 相同 的 密度板 ， 用 丝绸 粉刷 技巧 将 板面 粉刷 一遍 ， 晾干 后 在 板 上 绘 上 梅花 朵朵 ， 大面积 的 图案 设计 蜿蜒 穿过 画板 间 的 缝隙 而 不失 连贯性 。 “ 丝绸 ” 的 背景 让 细 工笔画 作 的 质感 大大 提升 ， 朴质 的 亚洲 风格 更 鲜明 。 图案 描绘 成品 后 晾干 ， 一定 要 刷 一层 透明 油漆 以 保护 。 
 家居 	 丝质 化妆包   首饰盒 ( 图 ) 3 . 丝质 化妆包 、 首饰盒   白底 素 花丝 质 的 化妆包 与 咖啡色 真丝 香囊 尽显 丝织品 特有 的 光泽感 ， 绸缎 的 橙红色 绣花 首饰 袋 与 裹 有 朱红 暗花 丝绸 的 首饰盒 呈现出 传统 之 富贵 与 优雅 ， 顺滑 细腻 的 手感 ， 在 使用 时 体贴 心意 。 托盘   250 元   莲花 图案 香薰 灯   880 元   以上 均 为 DARA   红底 花案 丝织 化妆包   138 元   浅紫色 丝织 绣花 化妆包   680 元   以上 均 为 皇锦   红色 蜡烛 杯   480 元   深 棕丝 质 香薰 包 580 元   黄底 红花 丝质 收纳 包   1080 元   以上 均 为 依 芙 德伦   
 家居 	 个性 书架 演绎 时尚家居 ( 图 ) 网友 10 万装 75 平米 2 室 2 厅全 开放 小家 
 家居 	 个性 特色 装点 ( 图 ) 个性 特色 装点 座椅 彻底 换上 了 新 的 颜色 ， 靠垫 也 换成 了 更具 个性 的 条纹 图案 ； 旁边 的 桌子 也 同样 改变 成 了 鲜艳 的 颜色 。   
 家居 	 个性 现代 挑战 思维 ( 图 ) 个性 现代 挑战 思维 外表 造型 恢弘 、 大气 ， 又 不失 现代 简约 ； 床头 两边 造型 挺拔 ， 充满 无比 自信 ， 却 有 线条 细腻 的 柔美 ； 整体 床身 采用 意大利 进口 小黄 牛皮 ， 价值 不菲 ； 床品 抽象 的 几何 图案 ， 挑战 您 的 思维 ； 色彩 与 样式 相衬 ， 个性 现代 。 
 家居 	 中式 传统 雕 梁画柱 的 酸枝木 ( 图 ) 经典 奢华 欧式 家居 ， 以 外观 吸引 人 的 奢华 家具 一般 都 有 炫目 的 造型 ， 让 人 一眼 望去 便 可知 其 珍贵 ： 无论是 极富 欧式 风格 的 大型 沙发 ， 还是 中式 传统 雕 梁画柱 的 酸枝木 、 红木家具 ， 都 是 各 有 各 的 磅礴 气势 和 极为 考究 的 做工 。 
 家居 	 中式 的 格纹 图案 ( 图 ) 格纹 小 物件   中式 的 格纹 图案 不仅 在 家具 上 使用 频繁 ， 在 花瓶 、 糖罐 、 纸 抽 等 瓷器 和 木器 上 也 广泛 使用 ， 环形 排列 的 设计 圆润 流畅 ， 交叉 排列 的 设计 具有 强烈 的 视觉效果 ， 镂空 的 设计 立体感 十足 ， 同样 的 格纹 突显出 迥异 的 个性 。 
 家居 	 中规中矩 的 处女座 ( 图 ) 处女座   白 / 粉红 中规中矩 的 处女座 ， 是 标准 的 模范 宝宝 。 拥有 清秀 小 佳人 之称 的 处女座 女生 ， 是 在 爱情 的 世界 中是 十分 抢手 的 ( 除非 你 没 充份 发挥 能量 ) ， 因此 ， 白色 的 纯净 和 粉红色 无私 的 爱 ， 就是 处女座 的 色彩 能量 。 所以 ， 若 你 成 了 一个 龟 毛之士 ， 或 老 是 成为 爱情 战场 上 的 败者 ， 那么 ， 你 肯定 需要 粉红色 的 接受 自己 ， 以及 白色 的 坦白从宽 了 。 太过 虚伪 或 矫枉过正 ， 都 会 让 你 原味 尽失 ， 非常 可惜 。 
 家居 	 为 你 的 家 拼贴 出 最具 创意 的 风景 ( 组图 ) 集合 色彩 ， 集合 图案 ， 集合 一切 美丽 的 元素 ， 在 四月 ， 为 你 的 家 拼贴 出 最具 创意 的 风景 。 
 家居 	 为 深 木色 吊柜 涂上 暖色 ( 图 ) 深 木色 吊柜 和 高柜 的 颜色 属于 暖色 ， 为 节日 的 厨房 奠定 了 喜庆 的 基础 ， 只 需 在 餐桌 、 烹饪 台 、 操作台 和 水盆 区 几个 区域 装饰 些 红色 餐具 、 厨房用品 ， 即可 快速 布置 出 一个 喜庆 的 就餐 空间 。 
 家居 	 主卧 十分 理想 ( 图 ) 主卧 十分 理想 西南角 是 主卧室 的 位置 ， 这个 位置 做 为主 卧室 非常 好 ， 老人 住 或是 家内 的 主人 ( 指 夫妻 ) 住 都 非常 有利 ， 代表 事业 会 做 的 非常 成功 ， 而且 家庭 比较 和睦 ， 特别 是 到 猪 年 、 兔年 、 羊年 或 每年 的 这 几个 月 都 比较 好 ， 最好 是 能 在 主卧室 摆放 一小 盆水 ( 不要 有鱼 的 ) ， 水 里 可以 摆放 小花 之类 的 会 更好 ， 但 在 主卧 之处 最 不利 的 便是 卫生间 ， 因此 我 建议 在 此 摆放 一个 吉祥 物品 来 化解 一下 ， 这样 能够 起到 很 好 的 效果 。 
 家居 	 书房 必备 要素 之一 ( 图 ) 提到 阁楼 ， 人们 往往 会 联想 到 “ 安宁 ” 、 “ 寂静 ” 之类 的 词语 ， 而 这些 词 又 恰好 是 书房 必备 要素 之一 。 所以 ， 把 阁楼 布置 成 “ 空中 书房 ” 也 是 非常 合适 的 。 在 阁楼 倾斜 的 窗户 下放 一张 整洁 的 书桌 ， 再 在 墙边 摆 一排 造型 简洁 的 书柜 。 当 你 看累 了 电脑屏幕 上 的 文字 、 数据 ， 抬起头来 ， 就 可以 透过 玻璃 ， 轻易 ? 望 到 远处 的 风景 。   
 家居 	 书架 也 能 变身 成为 床 ( 图 ) 书架 也 能 变身 成为 床 ？ 我 想 很多 人 看到 这 款 设计 的 时候 肯定 在 开心 ， 书柜 和 床成 了 一个 组合 ， 可以 帮组 您 最大 限度 的 利用 上 您 的 空间 ， 还 能 给 您 的 墙壁 增添 一点 新 的 色彩 ， 拼 上 五个 悬挂 式 的 壁柜 ， 这款 是 有 意大利 设计师 所 创造 的 ， 非常适合 空间 小 的 家庭 ， 但 每天 要花些 时间 来 拼床 。 
 家居 	 五种 鲜花 演绎 欲说还休 的 浪漫 ( 组图 ) 蝴蝶兰 蝴蝶兰 静默 不语 ， 将 墨绿 和 紫红 一一 点染 纸上 。 鼓形 青花瓷 取其 浑厚 庄重 的 意味 ， 竹节 做 提手 的 纯白 茶壶 显得 温和 而 亲切 ， 茶碗 上 的 透雕 修饰 将 两种 气韵 自然 融汇 、 静静 蔓延 。 
 家居 	 五种 鲜花 演绎 欲说还休 的 浪漫 - 文竹 文竹 文竹 叶片 纤细 秀丽 ， 密实 簇拥 如同 羽毛 一般 ， 远远 看去 翠云 叠嶂 ， 独具 风韵 ， 拿来 配茶 与 字 ， 碰撞 出 反差 美的 灵光 。 
 家居 	 五种 鲜花 演绎 欲说还休 的 浪漫 - 睡莲 睡莲 淡淡的 光线 从 花蕊 中 慢慢 渗开 。 缀 满 中国式 祥福 图案 的 提包 ， 借来 方瓶 中 睡莲 的 一点 玫红 ， 在 简单 的 颜色 对白 里 ， 茶具 上 的 一抹 娇黄 带来 流动 活跃 的 情绪 。 
 家居 	 五种 鲜花 演绎 欲说还休 的 浪漫 - 菊花 菊花 墙壁 上 的 菊花 冷香 四溢 ， 如同 象牙 雕琢 出 的 白色 水罐 ， 质地 细腻 ， 气质 优雅 。 而 落地灯 以 深情 一弯 的 曲线美 取胜 ， 暗合 了 桌上 小 茶壶 的 骨肉 匀称 、 转折 圆润 。 
 家居 	 享受 到 影院 级别 的 效果 ( 图 ) 3 . 房间 比例 千万 不要 选用 房间 长宽 高 比例 为 整数倍 的 房间 做 视听室 ， 否则 强烈 的 驻波 会 让 一切 努力 前功尽弃 ， 再 好 的 器材 在 这样 的 环境 也 不会 有 好 的 声音 。 如果 别无选择 ， 也 一定 要 通过 简单 的 声学 处理 、 家具 等 室内 用品 来 减少 驻波 。 如果 条件 允许 ， 在 装修 时 通过 吊顶 、 间 墙 或 地板 处理 等 方法 来 改变 房间 比例 。 
 家居 	 以 外观 吸引 人 的 奢华 家具 ( 图 ) 经典 奢华 欧式 家居 ， 以 外观 吸引 人 的 奢华 家具 一般 都 有 炫目 的 造型 ， 让 人 一眼 望去 便 可知 其 珍贵 ： 无论是 极富 欧式 风格 的 大型 沙发 ， 还是 中式 传统 雕 梁画柱 的 酸枝木 、 红木家具 ， 都 是 各 有 各 的 磅礴 气势 和 极为 考究 的 做工 。 
 家居 	 优先照顾 空间 和 阳光 ( 图 ) 优先照顾 空间 和 阳光 在 进行 改造 设计 的 时候 ， 主人 就 提出 一定 要 优先照顾 空间 和 阳光 。 毕竟 ， 加州 的 阳光 和 气候 得天独厚 ， 自然 要 充分 享受 了 。 于是 ， 我们 看到 了 大面积 的 落地窗 、 楼梯 处请 阳光 进入 的 窄小 窗子 、 宽敞 的 开间 、 小巧 精致 的 泳池 和 能 随时 欣赏 花园 美景 的 露台 。 一层 客厅 的 地面 铺 了 板岩 ， 一直 延伸 到 游泳池 边 ， 一来 是 为了 营造 室内外 统一 的 视觉效果 ， 更 多 的 原因 是 为了 使用 上 的 方便 。 孩子 们 从 泳池 中 上来 ， 光着 脚 跑 进 屋子里 喝 饮料 ， 地面 上 留下 串串 小脚印 ， 水渍 很快 被 风干 ， 地面 还是 很 干净 ， 不用 费心 打理 ， 还 能 分享 孩子 的 童趣 。 这种 细节 ， 只有 爱 生活 的 人才 能 制造 出来 。 而 卧室 、 楼梯 踏步 和 露台 上 使用 的 木板 ， 则 是 一种 来自 澳洲 的 树种 ， 结实 坚硬 ， 略带 温暖 的 红色 同样 在 室内外 延续 ， 并 照顾 到 了 使用 时 的 舒适性 。 
 家居 	 传统 的 建筑 会 避免 开门见山 ( 图 ) 给 你 窍门 卵石 圆润 ， 是 镶嵌 的 好 材料 ： 硬质 路面 、 墙壁 、 池壁 都 很 适合 用 鹅卵石 来 堆砌 或 铺就 。 它们 不仅 没有 什么 成本 ， 而且 在 后期 的 管理 上 也 几乎 无须 打理 。 很多 古旧 的 石质 品 有着 天然 的 沧桑 气质 ， 比如 石磨 ， 石槽 等 ， 这些 在 山村 人家 非常容易 找到 ， 很多 家居 建材 卖场 也 能 买 到 。 带 着 岁月 痕迹 的 石磨 非常适合 塑造成 各种 景观 ， 无论是 现代 的 都市 花园 ， 还是 传统 的 气质 庭院 ， 石磨 是 造景 的 美妙 元素 ： 可以 用 它 来 铺设成 沉稳 的 石磨 小径 ， 还 可以 改造 成 生动 的 石磨 水景 ， 等等 。 植物 是 庭院 的 重要 元素 ， 植物 选择 的 比兴 手法 也 是 造园 的 要素 ， 以 德比 物 也 是 历代 文人 士大夫 的 美学 传统 ， 松竹梅 这 类 花草 不仅 有着 高洁 的 寓意 ， 而且 便于 打理 ； 它们 自由 地 生长 ， 可以 节省 主人 很多 精力 和 时间 。 北方 庭院 适宜 的 旱园 竹 、 红枫 、 槭 树 等 均 是 很 好 的 选择 。 在 庭院 的 布置 上 ， 田园 的 野趣 和 文人 情怀 相结合 会 产生 情景交融 的 效果 。 古人 讲究 以小见大 ， 在 我们 面积 有限 的 庭院 中 ， 同样 可以 寄托 人们 对 自然界 的 想象 。 比如 山水 意境 可以 通过 庭院 水景 、 石景 的 建设 来 阐述 。 在 庭院 艺术 中 ， 历来 就 有 “ 水为 庭院 灵魂 ” 之 说 。 水是 庭院 里景 艺术 中 最 容易 做到 也 是 效果 很 好 的 一种 园艺 景观 要素 。 
 家居 	 低调 奢华   粉嫩 床品 当 蓝 变得 很 深时 ， 丝绸 质地 得到 了 另 一种 诠释 。 无论是 面料 抑或 色泽 ， 都 是 设计师 们 青睐 的 体现 成熟 的 首选 。   时髦 的 烟 粉色 ， 有时 甜美 可爱 ， 有时 浪漫 温暖 ， 或许 ， 正是 因为 它 非常 “ 女人 ” 的 特质 ， 令 全世界 都 正 陶醉 在 粉色 之中 。 无论是 甜美 还是 浪漫 ， 仅仅 是 粉色 的 某个 角度 ， 当 粉色 淡到 只 流露出 一点点 柔美 的 气息 时 ， 淡雅 在 深秋 拉开 了 柔美 的 帷幕 。 
